,,,,,,REVEW,,,,,,,,,,,,,thiện nguyện/cv,,,,,,,,,,,,,,,REVEW,,,,,,,,,,,,thiện nguyện/cv,,,,,,,,,,,
6,Vẽ một phụ nữ,6,2,4,,0,,,1,,,,,,,1,,,2,,1,,,,,1,,,,0,0,0,,,,,,,,,,,,,,,,,0,,,,,,,,
18,Bốn tình yêu,16,6,10,,3,1,1,1,,,,,,,,,,2,4,2,,,,,,2,,,2,0,2,,,,,,,,,,,,,,,,,2,,,,,,,,
13,Daisy Miller & Di sản Aspern,12,4,8,,1,,1,,,,,,,,1,,1,2,2,1,,,,1,1,,1,,1,1,0,,1,,,,,,,,,,,,,,,0,,,,,,,,
18,Dưỡng đường đồng hồ cát,18,4,14,,2,,,1,,,,,,,,1,,2,7,3,,,,1,,,1,,0,0,0,,,,,,,,,,,,,,,,,0,,,,,,,,
17,In illo Tempore,15,3,12,,3,,,,,,,,,,,,,3,4,3,,,,,,1,,1,2,0,2,,,,,,,,,,,,,,,,,2,,,,,,,,
15,Hotel Savoy,14,3,11,,2,1,,,,,,,,,,,,2,3,1,,,,1,1,2,,1,1,0,1,,,,,,,,,,,,,,,,,1,,,,,,,,
9,Ngắn,9,2,7,,2,,,,,,,,,,,,,2,3,1,,,,,,1,,,0,0,0,,,,,,,,,,,,,,,,,0,,,,,,,,
17,Chuyện các bà vợ già,17,8,9,,3,2,,1,,,2,,,,,,,3,3,2,,,,,,,1,,0,0,0,,,,,,,,,,,,,,,,,0,,,,,,,,
20,Giữa đất và nước,20,11,9,,7,3,1,,,,,,,,,,,3,2,2,,,,,,1,1,,0,0,0,,,,,,,,,,,,,,,,,0,,,,,,,,
42,Ngợp,42,26,16,,10,7,7,2,,,,,,,,,,4,6,3,1,1,,,,,1,,0,0,0,,,,,,,,,,,,,,,,,0,,,,,,,,
33,Ba lối tới hồ,33,17,16,,7,4,2,3,,,,1,,,,,,3,4,3,1,1,,,,3,,1,0,0,0,,,,,,,,,,,,,,,,,0,,,,,,,,
25,Bão lớn,24,13,11,,7,3,3,,,,,,,,,,,4,4,2,,,,,,,1,,1,0,1,,,,,,,,,,,,,,,,,1,,,,,,,,
24,Người lính tốt,23,12,11,,3,3,3,1,1,1,,,,,,,,5,4,1,,,,,,,1,,1,1,0,,,,,1,,,,,,,,,,,,0,,,,,,,,
21,Những chuyến dạo chơi,19,4,15,,3,1,,,,,,,,,,,,4,5,2,,,,2,,,1,1,2,0,2,,,,,,,,,,,,,,,,1,1,,,,,,,,
32,May,32,18,14,,9,6,1,,,,,,,,,2,,4,5,3,,,,,,1,1,,0,0,0,,,,,,,,,,,,,,,,,0,,,,,,,,
32,Nghĩ,28,7,21,,6,,,,,,1,,,,,,,4,9,5,,,,1,,2,,,4,0,4,,,,,,,,,,,,,,,,1,3,,,,,,,,
27,Gentleman cắn thuốc phiện,27,10,17,,7,1,1,,,,1,,,,,,,3,5,3,,,,3,,2,1,,0,0,0,,,,,,,,,,,,,,,,,0,,,,,,,,
26,Nghề sống,23,9,14,,5,1,2,1,,,,,,,,,,4,5,5,,,,,,,,,3,1,2,,,,,1,,,,,,,,,1,,,1,,,,,,,,
33,Hành khúc Radetzky,32,17,15,,6,5,2,,1,1,1,,,,,,1,3,7,2,,,,,1,1,,1,1,1,0,,1,,,,,,,,,,,,,,,0,,,,,,,,
50,Sa mạc tình yêu,48,10,38,,,,0,7,,,,2,,1,,,,,0,31,1,1,1,1,1,1,1,,2,0,1,1,,,,,,,,,,,,,,,,1,,,,,,,,
34,"Job, tiểu thuyết về một người thuần hậu",34,8,26,,,,0,6,,,1,1,,,,,,,0,18,2,2,2,,1,,1,,0,0,0,,,,,,,,,,,,,,,,,0,,,,,,,,
44,Tristram Shandy,42,4,38,,,,0,1,1,1,,,,,,,1,,0,26,3,3,1,,,5,,,2,2,0,,1,1,,,,,,,,,,,,,,0,,,,,,,,
29,Một người tên là Thứ Năm,28,6,22,,,,,,,,,3,,2,,,1,,,,,,15,4,3,,,,1,1,0,,1,,,,,,,,,,,,,,,0,,,,,,,,
34,Washington Square,31,8,23,,,,,,,,,3,,2,1,,2,,,,,,15,2,4,1,1,,3,2,1,,2,,,,,,,,,,,,,,,1,,,,,,,,
54,Lý thuyết tầng lớp nhàn rỗi,49,8,41,,,,,,,,,4,4,,,,,,,,,,15,6,3,17,,,5,0,5,,,,,,,,,,,,,,,,1,4,,,,,,,,
40,Những nỗi hoảng hốt của cậu học sinh Torless,39,9,30,,,,,,,,,6,2,1,,,,,,,,,18,4,5,2,1,,1,0,1,,,,,,,,,,,,,,,,,1,,,,,,,,
58,Ông cha đạo ở Wakefield,2,2,0,,,,,,,,,,,,,,2,,,,,,,,,,,,56,2,15,39,2,,,,,,,,,,,,13,1,,1,,,,,,,,
52,Người phụ tá,4,4,0,,,,,,,,,,,,,,4,,,,,,,,,,,,48,4,17,27,4,,,,,,,,,,,,14,1,,2,,,,,,,,
62,Tay điệp viên,1,1,0,,,,,,,,,,,,,,1,,,,,,,,,,,,61,1,21,39,1,,,,,,,,,,,,13,1,,7,,,,,,,,
50,Tên mọi trên tàu Narcissus,4,4,0,,,,,,,,,,,,,,4,,,,,,,,,,,,46,4,15,27,4,,,,,,,,,,,,14,1,,0,,,,,,,,
40,Khác thời đại,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,0,5,35,,,,,,,,,,,,,,,,5,,,,,,,,
39,Anh em Tanner,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,0,5,34,,,,,,,,,,,,,,,,5,,,,,,,,
40,Nhà xứ cũ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,0,5,35,,,,,,,,,,,,,,,,5,,,,,,,,
