"Thời điểm 
bắt đầu",Type,Đại Lý,VAT?,% ck,Tiền về TK nào?,Tổng phải thanh toán ,Tổng đã thanh toán,Tổng tồn/ nợ,Nhập,Thanh toán,action,Địa chỉ hiệu sách,Địa chỉ gửi sách,Thông tin công ty,Contact
Tháng 6,Ký gửi,"Thư hiên dịch trường
lích thanh toán: m5 hàng tháng","- đơn 1 có VAT
- đơn 2(bù lỗi) không VAT
- Đơn 3 không VAT",35,LA,"19,075,875","3,240,140","15,835,735","- Lần 1: tháng 5/2024
- Lần 2: 26/6/24 (88q)","
2025
          1/2025:0
          2/2025:102000
          3/2025: 205000
          4/2025: 228.145
          5/2025: 269,820",yêu cầu báo cáo,"Địa chỉ 1: Cafe Hữu Thể, 24B1 Đường 359, Phường Phước Long B, TP Thủ Đức, TP Hồ Chí Minh
- Địa chỉ 2: Đậu Bistro, 48 Đường số 13, An Phú, TP Thủ Đức, TP Hồ Chí Minh","12 đường 12, phường An Khánh, Tp. Thủ Đức, Tp. HCM
Thư Hiên Dịch Trường: 0938336918","Thông tin xuất hóa đơn THƯ HIÊN:
CÔNG TY TNHH THƯ HIÊN DỊCH TRƯỜNG
MST: 0316846198
ĐC: Số 1B, Đường số 30, Khu phố 2, Phường An Khánh, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam
Mail: info@exlibrishermes.com
SĐT: 0938 336 918","Thư hiên dịch trường 
https://www.facebook.com/thuhiendichtruongvn

thuhiendichtruong@gmail.com"
tháng 3/2025,Ký gửi,MỤ HOA ĐINH LỄ,K,30,LA,"5,864,740đ",0,"5,864,740","tháng 3: 2.746.240đ
tháng 4: 2229500
tháng 10: 889000",tháng 3+4+5: CHƯA CÓ PHẢN HỒI,yêu cầu thanh toán,,,,
Tháng 8,Ký gửi,"Quán sách mùa thu
M5 hàng tháng",K,28,LA,"9,886,104","577,800","9,308,304",- 3/8/24: 9.886.104 ₫,"Tháng 8: 337 800
tháng 9: 240000
tháng 10-11:",yêu cầu báo cáo,,"Quán Sách Mùa Thu, đường sách Tp. Hồ Chí Minh, Nguyễn Văn Bình, Bến Nghé, quận 1, Tp. Hồ Chí Minh
Sđt: 0965232620","Nguyen Van Binh, Dist. 1, Ho Chi Minh City, Vietnam
097 287 39 62
quansachmuathu@hotmail.com
quansachmuathu.vn",
Tháng 7,Ký gửi,Quán Thi,K,30,LA,"2,094,362","958,582","1,135,780","- Lần 1: cuối tháng 6/2024
- tháng 10: 1,441,020 ₫","- Tháng 7: 788 582
- Tháng 8-9: 170000
THÁNG 10: 0
tháng 11+12: 0",đã thanh toán,"Cuối-ngõ 113 Hoàng Cầu, Đống Đa, Hanoi, Vietnam","Cuối-ngõ 113 Hoàng Cầu, Đống Đa, Hanoi, Vietnam",,"Quán Thi 
https://www.facebook.com/quanthi.hanoi

quanthihanoi@gmail.com"
,Đã gửi info,"Mọt

(LCT)",,,,,,,,,negotiate/ follow-up,,,,
tháng 4,Đã gửi info,The Madeleine Bookshop,30,,LA,"3,447,400","936,000","2,511,400","tháng 5: 2481980
thág 6: 967400","2025       
          4/1/2025: 936000
          5+6/2025: 338100",yêu cầu thanh toán,,"The Madeleine Bookshop
Địa chỉ: The Park Residence, B5, 12 Nguyễn Hữu Thọ, Phước Kiển, Nhà Bè
Số điện thoại: 0764540273 ",,https://www.instagram.com/themadeleine_bookshop/?hl=vi
Tháng 8,Ký gửi,Gian sách Lyk,K,28,LA,"2,115,536",0,"2,115,536","- 4/8/2024: 2,115,536","tháng 8: 0đ
tháng 9: 0đ
tháng 10;",yêu cầu báo cáo,,"LyK - 66 Lê Thị Hồng - P.17 - Gò Vấp - Sài Gòn
đt: 0987700502""",,"Lyk
https://www.facebook.com/giansachlyk/

Bạn gửi qua zl cho tiện nt nha
0987700502
giansachlyk@gmail.com"
"Tháng 9
16/9",Ký gửi,Reading Cabin,K,30,la,"4,961,950","960,000","4,001,950","THÁG 9-10: 960000
THÁNG 11:",Tháng 9-10: 960000,yêu cầu báo cáo,,"Reading cabin
18a/33 Nguyễn Thị Minh Khai, Đa Kao, quận 1, tp HCm",,"RC
curator@readingcabin.vn
contact@readingcabin.vn"
,,"Song Uyên Sách 
(via LCT)",,,,,,,,,,,"Giờ mình đang ở Sài Gòn. Mấy bữa nữa mình ra Bắc, mình sẽ liên lạc với Bạn nhé. Chân thành cảm ơn Bạn đã ưu ái! Song Uyên Song Uyên Sách Xuất bản khác, Thời độ, Hiệu sách hộp luôn là một trong những ưu tiên đầu tiên của mình để đọc và sưu tập. Song Uyên Song Uyên Sách Và giờ là FORMA",,
,,"Read Station
(Hải Zalo)",,,,,,,,,,đợi xem lại list rồi báo sau,,,
,Thư viện,Tổ Cá (LCT),,,,,,,,,,"Nếu được thì bạn cứ gửi mình full đầu bên bạn đang có mình sẽ đọc và review/giới thiệu dần, sách đó mình vừa đọc vừa để ở quán cho khách đọc luôn. Các đầu sách forma mình đọc sẽ có share lên page và các hội nhóm gần chỗ mình ở phủ thêm.

Được nha, vậy mình cứ gửi bạn một bộ, bạn vừa đọc vừa share với các bạn khác, coi như Tổ Cá là một điểm thư viện luôn (tùy bạn điều phối). Bạn thấy thế nào?","Số 9 ngõ 265/2 ngọc hồi, thanh trì, hà nội
Cá
Sđt: 0886773312

",,
,,,,,,,,,,,,,,,
,,Đỗ Kim Cơ Tri thức trẻ,,,,,,,,,"https://www.trithuctrebooks.com/
Có dịp mời em qua vp anh chơi",,,,
,,Tiệm sách văn học Đà Nẵng (IG),,,,,,,,,,,,,
,,Phạm Sỹ Thành (Book Lag),,,,,,,,,,,,,
,,Thăng Long,,,,,,,,,,,,,
,,SAVINA Tràng Tiền,,,,,,,,,,,,,
,,Hải An,,,,,,,,,,,,,
,,"69 Books
(LCT)",,,,,,,,,,,,,
,Ký gửi,Vinabook,,,,,,0,,chưa thấy nói gì,negotiate/ follow-up,,,,"Vinabook
kieuthu@vinabook.com"
,Đã gửi info,Mây Sách,,,,,,0,,,refuse,,,,Tranquil
,Đã gửi info,Mèo ngủ,,,,,,0,,,refuse,,"hiện tại mèo đang có một số kế hoạch cho các hoạt động sắp đến cần được ưu tiên, nên mèo mong có thể hợp tác với FORMA trong những project khác phù hợp hơn với mèo và team nhé",,Mèo
,Đã gửi info,Book Hunter,,,,,,0,,,negotiate/ follow-up,,,,"info.bookhunter@gmail.com"""
,Đã gửi info,Book Nest,,,,,,0,bán chủ yếu sách TA,,negotiate/ follow-up,,,,"Booknest
booknest.bookstore@gmail.com "
,Đã gửi info,Mary,,,,,,0,Hẹn tháng 8,,negotiate/ follow-up,,,,Mary
,Đã gửi info,Kafka,,,,,,0,Chưa thấy nói gì ,,tìm contact,,,,"Kafka
sales@kafka.vn"
,Đã gửi info,Tiệm sách Quýt,,,,,,0,Sách TA,,negotiate/ follow-up,,,,"Tiệm sách Quýt
lananhngvu@gmail.com"
,Đã gửi info,Bookshelf Hanoi,,,,,,0,,,negotiate/ follow-up,,,,"The Bookself Hanoi
thebookshelfstaff@gmail.com"
,Đã gửi info,Spiderum,,,,,,0,,,negotiate/ follow-up,,,,
,Đã gửi info,Sách Thành Vinh,,,,,,,,,negotiate/ follow-up,,,,
,Cần contact,,,,,,,,,,,,,,Duyên Sách
,,,,,,,,,,,,,,,
,,Nguyễn Thanh Nghệ An,,,,,,,,,,,,,
,,An Nam Thư quán,,,,,,,,,,,,,
,,Hiệu cũ Mèo Gìa,,,,,,,,,,,,,
,,B612,,,,,,,,,,,,,
,,https://www.facebook.com/sachphocohanoi,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Tạ Trọng Hậu Momo,không rep lai,,,,,,,,,,,,
,,DIÊN VĨ,https://www.facebook.com/tusachdienvi?locale=vi_VN,,,,,,,,,,,,
