Vĩnh biệt ,121,Đoản luận: Văn chương ,87,Các khía cạnh của tiểu thuyết,7,Ba lối tới hồ,13,Hotel Savoy,8,Vĩnh biệt ,8,Chuyện các bà vợ già,6,Người lính tốt,6,Những chuyến dạo chơi,10,Miếng da lừa ,7,Middlemarch - Tập 2 ,8,Bão lớn,11,Middlemarch - Tập 1,6,Hotel Savoy,8,Những chuyến dạo chơi,7,Ba lối tới hồ,6,Tristram Shandy,7,Ba lối tới hồ,11,Đoản luận: Văn chương ,6,Nghĩ,9,Lý thuyết tầng lớp nhàn rỗi,9,,,,,,,,,
Mộc thần nữ ,119,Hành khúc Radetzky,86,Dưỡng đường đồng hồ cát,7,Ba truyện đời ,12,Hành khúc Radetzky,8,May,8,Tâm hồn và hình thức,5,Nghĩ,6,Tiệc vườn,9,Middlemarch - Tập 2 ,7,Hành khúc Radetzky,8,Những chuyến dạo chơi,11,Middlemarch - Tập 2 ,6,Ba lối tới hồ,8,Middlemarch - Tập 1,6,Miếng da lừa ,5,Lý thuyết tầng lớp nhàn rỗi,7,Tên mọi trên tàu Narcissus,11,Washington Square,6,Giống như là chết ,8,Cháu trai Wittgenstein,8,,,,,,,,,
Nghề sống,118,Bão lớn,85,In illo Tempore,7,Tiệc vườn,11,Nàng tình nhân hờ ,7,Hành khúc Radetzky,8,Lịch sử (ngắn) văn chương Đức,5,Hotel Savoy,5,Những hiệu quế,9,Chuyện các bà vợ già,7,Những hiệu quế,7,Washington Square,11,Vẽ một phụ nữ,6,May,8,Middlemarch - Tập 2 ,6,Họa sĩ của cuộc sống hiện đại ,5,Ngợp,6,Ngắn,10,Ondine ,5,Những hiệu quế,8,Những chuyến dạo chơi,8,,,,,,,,,
Hành khúc Radetzky,117,Những chuyến dạo chơi,85,Ngợp,6,Ngắn,11,Giống như là chết ,7,Ondine ,7,Con quái vật trong rừng và Bàn thờ người chết ,5,Giữa đất và nước,5,Nghĩ,9,Sa mạc tình yêu,7,Vẽ một phụ nữ,7,Tristram Shandy,10,Gentleman cắn thuốc phiện,6,Nghĩ,8,Những hiệu quế,6,Con quái vật trong rừng và Bàn thờ người chết ,5,Người lính tốt,6,May,10,Miếng da lừa ,5,Ngắn,8,Đốc tờ Héraclius Gloss,7,,,,,,,,,
Người lính tốt,107,Gentleman cắn thuốc phiện,85,Đoản luận: Văn chương ,5,May,11,Những hiệu quế,7,Giữa đất và nước,7,Các khía cạnh của tiểu thuyết,5,Tristram Shandy,5,Nghề sống,9,Mộc thần nữ ,6,In illo Tempore,7,Những hiệu quế,9,Washington Square,6,Sa mạc tình yêu,8,Đoản luận: Văn chương ,6,In illo Tempore,5,Nghề sống,6,Ông cha đạo ở Wakefield,10,Họa sĩ của cuộc sống hiện đại ,5,Nghề sống,8,Vẽ một phụ nữ,7,,,,,,,,,
Những chuyến dạo chơi,105,Nghề sống,85,Tâm hồn và hình thức,4,Giống như là chết ,10,Tâm hồn và hình thức,6,Người lính tốt,7,Giữa đất và nước,5,Ondine ,4,Vĩnh biệt ,8,Vẽ một phụ nữ,6,Giữa đất và nước,7,Cháu trai Wittgenstein,9,Hành trình tình cảm,5,Washington Square,8,Tristram Shandy,6,Những chuyến dạo chơi,5,Ông cha đạo ở Wakefield,6,Một câu chuyện từ những đụn cát ,9,"Job, tiểu thuyết về một người thuần hậu",5,Tristram Shandy,8,Giữa đất và nước,7,,,,,,,,,
Bão lớn,103,Người lính tốt,83,Hotel Savoy,4,Các khía cạnh của tiểu thuyết,10,Chuyện các bà vợ già,6,Lịch sử (ngắn) văn chương Đức,6,Bão lớn,5,Đốc tờ Héraclius Gloss,4,Họa sĩ của cuộc sống hiện đại ,8,Ngợp,6,Mộc thần nữ ,6,Daisy Miller & Di sản Aspern,9,In illo Tempore,5,Miếng da lừa ,7,Le Spleen de Paris (Tái bản) ,5,Gentleman cắn thuốc phiện,5,Một câu chuyện từ những đụn cát ,5,Tiện bút 1,9,Người phụ tá,5,Tay điệp viên,8,Ngợp,7,,,,,,,,,
May,103,Mộc thần nữ ,80,Ngắn,4,Vẽ một phụ nữ,10,Le Spleen de Paris ,5,Tú tài thủy tinh cùng Rinconete và Cortadillo và Lão già ghen ở Estramadoure,5,Ondine ,4,Le Spleen de Paris (Tái bản) ,4,Hotel Savoy,8,Người lính tốt,6,Tiện bút 1,6,Giữa đất và nước,9,Chuyện các bà vợ già,5,Đoản luận về giáo dục,7,Họa sĩ của cuộc sống hiện đại ,5,Hành trình tình cảm,4,Tiệc vườn,5,Middlemarch - Tập 1,9,Ba người ngự lâm pháo thủ,4,Tên mọi trên tàu Narcissus,8,Nghĩ,7,,,,,,,,,
Một câu chuyện từ những đụn cát ,102,May,79,Middlemarch - Tập 2 ,3,Bão lớn,9,Đốc tờ Héraclius Gloss,5,Tiệc vườn,5,Không có vua ,4,Họa sĩ của cuộc sống hiện đại ,4,Le Spleen de Paris (Tái bản) ,7,Những chuyến dạo chơi,6,Họa sĩ của cuộc sống hiện đại ,6,May,9,Ngợp,5,Giống như là chết ,7,Hành khúc Radetzky,5,Đoản luận: Văn chương ,4,Le Spleen de Paris (Tái bản) ,5,Le Spleen de Paris ,9,Những người châu Âu ,4,Tê-lê-mặc phiêu lưu ký ,7,Gentleman cắn thuốc phiện,7,,,,,,,,,
Đoản luận: Văn chương ,97,Họa sĩ của cuộc sống hiện đại ,76,Con quái vật trong rừng và Bàn thờ người chết ,3,Chuyện các bà vợ già,8,Đoản luận về giáo dục,5,Hotel Savoy,5,Họa sĩ của cuộc sống hiện đại ,4,Mộc thần nữ ,3,Người lính tốt,7,May,6,Bốn tình yêu,6,Hành khúc Radetzky,9,Bão lớn,5,In illo Tempore,6,Ondine ,4,Dưỡng đường đồng hồ cát,4,Họa sĩ của cuộc sống hiện đại ,5,Middlemarch - Tập 2 ,9,Những hiệu quế,4,Một câu chuyện từ những đụn cát ,7,Nghề sống,7,,,,,,,,,
Họa sĩ của cuộc sống hiện đại ,91,Một câu chuyện từ những đụn cát ,75,Tục ca lệ,2,Những chuyến dạo chơi,8,Hành trình tình cảm,5,Bão lớn,5,Ngắn,4,Một câu chuyện từ những đụn cát ,3,May,7,Hành khúc Radetzky,6,Bão lớn,6,"Job, tiểu thuyết về một người thuần hậu",9,May,5,Ngắn,6,Mộc thần nữ ,4,Hotel Savoy,4,Vẽ một phụ nữ,5,Mộc thần nữ ,8,Cháu trai Wittgenstein,4,Tiệc vườn,7,Tristram Shandy,7,,,,,,,,,
Vẽ một phụ nữ,78,Cháu trai Wittgenstein,68,Một câu chuyện từ những đụn cát ,2,Hotel Savoy,7,Họa sĩ của cuộc sống hiện đại ,5,Đốc tờ Héraclius Gloss,4,Hành khúc Radetzky,4,Giống như là chết ,3,Tâm hồn và hình thức,6,Nàng tình nhân hờ ,5,"Job, tiểu thuyết về một người thuần hậu",6,Mộc thần nữ ,8,Những nỗi hoảng hốt của cậu học sinh Torless,5,Bão lớn,6,Một câu chuyện từ những đụn cát ,4,Ngắn,4,Những chuyến dạo chơi,5,Tiệc vườn,8,Vẽ một phụ nữ,4,Cháu trai Wittgenstein,7,Le Spleen de Paris (Tái bản) ,6,,,,,,,,,
Giống như là chết ,77,Vẽ một phụ nữ,68,Middlemarch - Tập 1,2,Ngợp,7,Ondine ,4,Đoản luận về giáo dục,4,Mộc thần nữ ,3,Đoản luận: Văn chương ,3,Đốc tờ Héraclius Gloss,6,Tú tài thủy tinh cùng Rinconete và Cortadillo và Lão già ghen ở Estramadoure,5,Nàng tình nhân hờ ,5,Một câu chuyện từ những đụn cát ,8,Ba lối tới hồ,4,Nghề sống,6,Miếng da lừa ,4,Ngợp,4,Một người tên là Thứ Năm,5,Giống như là chết ,8,In illo Tempore,4,Daisy Miller & Di sản Aspern,7,Đoản luận: Văn chương ,6,,,,,,,,,
Cháu trai Wittgenstein,73,Giáo dục châu Âu ,67,Lịch sử (ngắn) văn chương Đức,2,Miếng da lừa ,6,Vĩnh biệt ,4,Giống như là chết ,4,Middlemarch - Tập 1,3,Cháu trai Wittgenstein,3,Giống như là chết ,6,Đốc tờ Héraclius Gloss,5,Con quái vật trong rừng và Bàn thờ người chết ,5,Đốc tờ Héraclius Gloss,8,Ondine ,3,"Job, tiểu thuyết về một người thuần hậu",6,Những người châu Âu ,4,Người lính tốt,4,Tay điệp viên,5,Giữa đất và nước,8,Sa mạc tình yêu,4,Những chuyến dạo chơi,7,Ba truyện đời ,6,,,,,,,,,
Giáo dục châu Âu ,72,Giống như là chết ,66,Đoản luận về giáo dục,2,Le Spleen de Paris (Tái bản) ,6,Mộc thần nữ ,4,Giáo dục châu Âu ,4,Middlemarch - Tập 2 ,3,In illo Tempore,3,Dưỡng đường đồng hồ cát,6,Những hiệu quế,5,Dưỡng đường đồng hồ cát,5,Le Spleen de Paris (Tái bản) ,8,Tâm hồn và hình thức,3,Một câu chuyện từ những đụn cát ,5,Giống như là chết ,4,May,4,Các khía cạnh của tiểu thuyết,4,Sa mạc tình yêu,8,Một câu chuyện từ những đụn cát ,3,Washington Square,7,In illo Tempore,6,,,,,,,,,
Miếng da lừa ,71,Miếng da lừa ,65,Một chuyến đi ,2,Họa sĩ của cuộc sống hiện đại ,6,Tiệc vườn,4,Cháu trai Wittgenstein,4,Le Spleen de Paris (Tái bản) ,3,Ngắn,3,In illo Tempore,6,Đoản luận: Văn chương ,5,Miếng da lừa ,4,Dưỡng đường đồng hồ cát,8,Mộc thần nữ ,3,Le Spleen de Paris (Tái bản) ,5,Vẽ một phụ nữ,4,Sa mạc tình yêu,4,Nghĩ,4,Không có vua ,7,Tiện bút 1,3,Ông cha đạo ở Wakefield,7,Bão lớn,6,,,,,,,,,
Le Spleen de Paris (Tái bản) ,71,Le Spleen de Paris (Tái bản) ,64,Những người châu Âu ,2,Daisy Miller & Di sản Aspern,6,Giáo dục châu Âu ,4,Mộc thần nữ ,3,Daisy Miller & Di sản Aspern,3,Chuyện các bà vợ già,3,Ngắn,6,Giữa đất và nước,5,Tú tài thủy tinh cùng Rinconete và Cortadillo và Lão già ghen ở Estramadoure,4,Hotel Savoy,8,Nàng tình nhân hờ ,3,Giáo dục châu Âu ,5,Nghĩ,4,Tâm hồn và hình thức,3,Ondine ,3,Truyện con chó Berganza ,7,Đoản luận về giáo dục,3,Nhà xứ cũ,7,Người phụ tá,6,,,,,,,,,
Ở nhà trọ Đức,69,Tiện bút 1,63,Giáo dục châu Âu ,2,Ondine ,5,Không có vua ,3,Miếng da lừa ,3,Dưỡng đường đồng hồ cát,3,Không có vua ,2,Ba lối tới hồ,6,Tê-lê-mặc phiêu lưu ký ,4,Những người châu Âu ,4,Ngắn,8,Tiện bút 1,3,Ngợp,5,Nghề sống,4,Truyện con chó Berganza ,3,Tục ca lệ,3,Đốc tờ Héraclius Gloss,7,Tiệc vườn,3,Tâm hồn và hình thức,6,Nhà xứ cũ,6,,,,,,,,,
Tiện bút 1,68,Middlemarch - Tập 2 ,61,Cháu trai Wittgenstein,2,Middlemarch - Tập 1,5,Middlemarch - Tập 1,3,Ở nhà trọ Đức,3,Tiệc vườn,2,Tâm hồn và hình thức,2,Chuyện các bà vợ già,5,Tâm hồn và hình thức,4,Hotel Savoy,4,Lịch sử (ngắn) văn chương Đức,7,Miếng da lừa ,3,Tristram Shandy,5,Tiện bút 1,3,Những hiệu quế,3,Tâm hồn và hình thức,3,Hotel Savoy,7,Le Spleen de Paris (Tái bản) ,3,Truyện Gil-Blas (tập 1),6,Tê-lê-mặc phiêu lưu ký ,5,,,,,,,,,
Middlemarch - Tập 2 ,68,Tục ca lệ,60,Ba truyện đời ,2,Đoản luận: Văn chương ,5,Miếng da lừa ,3,Một dấu hiệu của Tình yêu,3,Ở nhà trọ Đức,2,Ba người ngự lâm pháo thủ,2,Ondine ,4,Giáo dục châu Âu ,4,Chuyện các bà vợ già,4,Ở nhà trọ Đức,7,Truyện con chó Berganza ,3,Tâm hồn và hình thức,4,Đoản luận về giáo dục,3,Một câu chuyện từ những đụn cát ,2,Đoản luận: Văn chương ,3,Ngợp,7,Daisy Miller & Di sản Aspern,3,Truyện Gil-Blas (tập 2) ,6,Một câu chuyện từ những đụn cát ,5,,,,,,,,,
Tục ca lệ,62,Đốc tờ Héraclius Gloss,56,Chuyện các bà vợ già,2,Tiện bút 1,4,Tú tài thủy tinh cùng Rinconete và Cortadillo và Lão già ghen ở Estramadoure,3,Le Spleen de Paris (Tái bản) ,3,Hành trình tình cảm,2,Tú tài thủy tinh cùng Rinconete và Cortadillo và Lão già ghen ở Estramadoure,2,Đoản luận: Văn chương ,4,Ba lối tới hồ,4,Tâm hồn và hình thức,3,Những người châu Âu ,7,Ở nhà trọ Đức,3,Mộc thần nữ ,4,Một chuyến đi ,3,Ba người ngự lâm pháo thủ,2,Cháu trai Wittgenstein,3,Nghề sống,7,May,3,Họa sĩ của cuộc sống hiện đại ,6,Daisy Miller & Di sản Aspern,5,,,,,,,,,
Tiệc vườn,62,Đoản luận về giáo dục,55,Không có vua ,1,Le Spleen de Paris ,4,Middlemarch - Tập 2 ,3,Vẽ một phụ nữ,3,Giáo dục châu Âu ,2,Truyện con chó Berganza ,2,Giữa đất và nước,4,Bão lớn,4,Một câu chuyện từ những đụn cát ,3,Ondine ,6,Họa sĩ của cuộc sống hiện đại ,3,Tiện bút 1,4,Bão lớn,3,Tú tài thủy tinh cùng Rinconete và Cortadillo và Lão già ghen ở Estramadoure,2,Giữa đất và nước,3,Tristram Shandy,7,Ông cha đạo ở Wakefield,3,Chuyện các bà vợ già,6,Ngắn,5,,,,,,,,,
Đoản luận về giáo dục,60,Ở nhà trọ Đức,55,Tiện bút 1,1,Middlemarch - Tập 2 ,4,Truyện Gil-Blas (tập 1),3,Chuyện các bà vợ già,3,Đoản luận: Văn chương ,2,Đoản luận về giáo dục,2,Tục ca lệ,3,Tục ca lệ,3,Tiệc vườn,3,Tâm hồn và hình thức,6,Cháu trai Wittgenstein,3,Tú tài thủy tinh cùng Rinconete và Cortadillo và Lão già ghen ở Estramadoure,4,May,3,Đốc tờ Héraclius Gloss,2,Bão lớn,3,Một người tên là Thứ Năm,7,Nhà xứ cũ,3,May,6,Người lính tốt,5,,,,,,,,,
Đốc tờ Héraclius Gloss,58,Hành trình tình cảm,54,Ba người ngự lâm pháo thủ,1,Không có vua ,3,Truyện Gil-Blas (tập 2) ,3,Tâm hồn và hình thức,2,Jacket trắng ,2,Tiệc vườn,2,Middlemarch - Tập 1,3,Ba người ngự lâm pháo thủ,3,Giống như là chết ,3,Tiện bút 1,6,Người lính tốt,3,Đốc tờ Héraclius Gloss,4,Sa mạc tình yêu,3,Tiệc vườn,2,May,3,Những nỗi hoảng hốt của cậu học sinh Torless,7,Đốc tờ Héraclius Gloss,2,Một người tên là Thứ Năm,6,Hành khúc Radetzky,5,,,,,,,,,
Hành trình tình cảm,54,Tiệc vườn,50,Tú tài thủy tinh cùng Rinconete và Cortadillo và Lão già ghen ở Estramadoure,1,Tâm hồn và hình thức,3,Một chuyến đi ,3,Tiện bút 1,2,Ngợp,2,Một dấu hiệu của Tình yêu,2,Ba người ngự lâm pháo thủ,3,Truyện Gil-Blas (tập 1),3,Hành trình tình cảm,3,Middlemarch - Tập 1,6,Tristram Shandy,3,Tiệc vườn,4,Tâm hồn và hình thức,2,Le Spleen de Paris (Tái bản) ,2,Những nỗi hoảng hốt của cậu học sinh Torless,3,Đoản luận về giáo dục,6,Ở nhà trọ Đức,2,Ở nhà trọ Đức,5,Sa mạc tình yêu,5,,,,,,,,,
Ba truyện đời ,54,Một dấu hiệu của Tình yêu,49,Tiệc vườn,1,Đoản luận về giáo dục,3,Đoản luận: Văn chương ,3,Truyện con chó Berganza ,2,Nghĩ,2,Hành trình tình cảm,2,Middlemarch - Tập 2 ,3,Truyện Gil-Blas (tập 2) ,3,Không có vua ,2,Miếng da lừa ,6,Tú tài thủy tinh cùng Rinconete và Cortadillo và Lão già ghen ở Estramadoure,2,Ở nhà trọ Đức,4,Ba người ngự lâm pháo thủ,2,Các khía cạnh của tiểu thuyết,2,Tê-lê-mặc phiêu lưu ký ,2,Ở nhà trọ Đức,6,Jacket trắng ,2,Những người châu Âu ,5,"Job, tiểu thuyết về một người thuần hậu",5,,,,,,,,,
Không có vua ,52,Jacket trắng ,49,Ở nhà trọ Đức,1,Giáo dục châu Âu ,3,Jacket trắng ,3,Những người châu Âu ,2,Bệnh tưởng ,1,Vẽ một phụ nữ,2,Đoản luận về giáo dục,3,Họa sĩ của cuộc sống hiện đại ,3,Truyện con chó Berganza ,2,Tú tài thủy tinh cùng Rinconete và Cortadillo và Lão già ghen ở Estramadoure,6,Le Spleen de Paris ,2,Cháu trai Wittgenstein,4,Tú tài thủy tinh cùng Rinconete và Cortadillo và Lão già ghen ở Estramadoure,2,Jacket trắng ,2,Ba người ngự lâm pháo thủ,2,Le Spleen de Paris (Tái bản) ,6,Chuyện các bà vợ già,2,Le Spleen de Paris (Tái bản) ,5,Tiện bút 1,4,,,,,,,,,
